
CUDA availability: True
  1%|██                                                                                                                                                                                                               | 5/496 [00:01<01:44,  4.68it/s]
##### event loss: tensor(11.1217, grad_fn=<NegBackward>) non event loss:  tensor([101.8719], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(100.7967, grad_fn=<NegBackward>) non event loss:  tensor([4.9413], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(311.8076, grad_fn=<NegBackward>) non event loss:  tensor([1.1060], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(179.0892, grad_fn=<NegBackward>) non event loss:  tensor([0.1384], dtype=torch.float64, grad_fn=<MulBackward0>)

  2%|█████                                                                                                                                                                                                           | 12/496 [00:03<02:08,  3.76it/s]
##### event loss: tensor(75.7058, grad_fn=<NegBackward>) non event loss:  tensor([0.1143], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(162.1093, grad_fn=<NegBackward>) non event loss:  tensor([0.1303], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(110.1460, grad_fn=<NegBackward>) non event loss:  tensor([2.2781], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(96.5241, grad_fn=<NegBackward>) non event loss:  tensor([0.3899], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(62.4651, grad_fn=<NegBackward>) non event loss:  tensor([0.8989], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(109.0373, grad_fn=<NegBackward>) non event loss:  tensor([3.4248], dtype=torch.float64, grad_fn=<MulBackward0>)

  5%|██████████                                                                                                                                                                                                      | 24/496 [00:05<01:03,  7.42it/s]
##### event loss: tensor(73.7305, grad_fn=<NegBackward>) non event loss:  tensor([26.7008], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(76.7970, grad_fn=<NegBackward>) non event loss:  tensor([6.2151], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(89.6279, grad_fn=<NegBackward>) non event loss:  tensor([6.3440], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(84.1593, grad_fn=<NegBackward>) non event loss:  tensor([7.5637], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(96.3440, grad_fn=<NegBackward>) non event loss:  tensor([2.9487], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(25.2060, grad_fn=<NegBackward>) non event loss:  tensor([5.8515], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(120.8625, grad_fn=<NegBackward>) non event loss:  tensor([2.0946], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(39.9643, grad_fn=<NegBackward>) non event loss:  tensor([6.8856], dtype=torch.float64, grad_fn=<MulBackward0>)
##### event loss: tensor(61.1059, grad_fn=<NegBackward>) non event loss:  tensor([2.0530], dtype=torch.float64, grad_fn=<MulBackward0>)
